,GAME_ID,PERSON_ID,TEAM_ID,SHOT_ORDER,SV_GAME_ID,SV_PLAYER_ID,SV_TEAM_ID,SHOT_RESULT,PERIOD,GAME_CLOCK,WALL_CLOCK,DRIBBLES,SHOT_DIST,TOUCH_TIME,CLOSE_DEF_PERSON_ID,CLOSE_DEF_SV_PLAYER_ID,CLOSE_DEF_DIST,PTS_TYPE,FGM,FGA,PTS
495,21600001,2210,1610612739,5,2016102505,3523,5,made,4,5170,1477450000000.0,0,19.59,0.88,204001,5464,5.31,3,1,1,3
522,21600001,2546,1610612752,15,2016102505,3706,18,missed,3,1850,1477440000000.0,13,18.87,10.23,2210,3523,3.54,2,0,1,0
551,21600001,101112,1610612739,2,2016102505,3934,5,missed,2,6420,1477440000000.0,0,1.85,0.04,203124,5083,1.99,2,0,1,0
552,21600001,101112,1610612739,3,2016102505,3934,5,missed,2,6150,1477440000000.0,0,24.35,0.68,1626195,5495,10.91,3,0,1,0
553,21600001,101112,1610612739,4,2016102505,3934,5,made,3,2950,1477440000000.0,0,24.76,0.8,204001,5464,7.45,3,1,1,3
554,21600001,101112,1610612739,5,2016102505,3934,5,missed,4,6930,1477450000000.0,0,23.78,0.72,203200,5142,9.43,3,0,1,0
555,21600001,101112,1610612739,6,2016102505,3934,5,made,4,5770,1477450000000.0,0,27.32,0.32,201149,4287,5.82,3,1,1,3
556,21600001,202697,1610612739,1,2016102505,4898,5,missed,1,1870,1477440000000.0,0,22.94,0.8,201584,4484,5.79,3,0,1,0
557,21600001,202697,1610612739,2,2016102505,4898,5,missed,2,2000,1477440000000.0,9,18.2,6.32,201565,4387,2.28,2,0,1,0
558,21600001,202697,1610612739,3,2016102505,4898,5,made,2,290,1477440000000.0,8,16.2,7.16,201565,4387,5.39,2,1,1,2
559,21600001,202732,1610612739,1,2016102505,4935,5,made,4,6560,1477450000000.0,0,0.35,0.6,1627851,5694,8.07,2,1,1,2
560,21600001,202732,1610612739,2,2016102505,4935,5,missed,4,2160,1477450000000.0,8,11.82,7.84,203124,5083,8.12,2,0,1,0
561,21600001,202732,1610612739,3,2016102505,4935,5,made,4,1670,1477450000000.0,2,4.03,5.4,203124,5083,1.4,2,1,1,2
562,21600001,203895,1610612739,1,2016102505,5370,5,made,4,2730,1477450000000.0,2,11.22,1.88,1627758,5704,3.45,2,1,1,2
563,21600001,203895,1610612739,2,2016102505,5370,5,missed,4,2420,1477450000000.0,5,3.25,5.32,1626195,5495,2.11,2,0,1,0
564,21600001,203895,1610612739,3,2016102505,5370,5,missed,4,970,1477450000000.0,3,6.8,3.77,1627758,5704,1.08,2,0,1,0
565,21600001,203895,1610612739,4,2016102505,5370,5,missed,4,510,1477450000000.0,8,18.01,7.58,1626195,5495,5.73,2,0,1,0
566,21600001,2365,1610612739,1,2016102505,3598,5,made,4,210,1477450000000.0,1,16.26,11.06,203124,5083,4.18,2,1,1,2
567,21600001,2592,1610612739,1,2016102505,3752,5,made,4,3100,1477450000000.0,0,24.04,0.8,203124,5083,6.65,3,1,1,3
568,21600001,2592,1610612739,2,2016102505,3752,5,missed,4,1830,1477450000000.0,0,22.83,1.36,201943,4615,2.4,2,0,1,0
659,21600001,2546,1610612752,16,2016102505,3706,18,missed,3,1010,1477440000000.0,11,14.09,9.0,2210,3523,5.48,2,0,1,0
660,21600001,2546,1610612752,17,2016102505,3706,18,missed,4,4580,1477450000000.0,0,30.22,2.68,202684,4884,5.87,3,0,1,0
661,21600001,2546,1610612752,18,2016102505,3706,18,missed,4,4110,1477450000000.0,4,24.65,5.12,2544,3704,6.2,3,0,1,0
662,21600001,201149,1610612752,1,2016102505,4287,18,missed,1,3880,1477440000000.0,3,7.46,3.52,201567,4391,1.8,2,0,1,0
663,21600001,201565,1610612752,1,2016102505,4387,18,made,1,7030,1477440000000.0,2,0.76,2.52,201567,4391,0.9,2,1,1,2
664,21600001,201565,1610612752,2,2016102505,4387,18,missed,1,5620,1477440000000.0,0,10.42,0.64,2544,3704,6.25,2,0,1,0
665,21600001,201565,1610612752,3,2016102505,4387,18,missed,1,4900,1477440000000.0,1,3.44,1.88,201567,4391,1.52,2,0,1,0
666,21600001,201565,1610612752,4,2016102505,4387,18,made,2,5440,1477440000000.0,7,16.56,6.76,101112,3934,8.37,2,1,1,2
667,21600001,201565,1610612752,5,2016102505,4387,18,made,2,4320,1477440000000.0,2,6.1,3.52,202684,4884,4.01,2,1,1,2
668,21600001,201565,1610612752,6,2016102505,4387,18,made,2,3730,1477440000000.0,3,2.33,3.49,202681,4840,3.59,2,1,1,2
669,21600001,201565,1610612752,7,2016102505,4387,18,made,2,2560,1477440000000.0,4,4.65,3.84,202681,4840,3.67,2,1,1,2
670,21600001,201565,1610612752,8,2016102505,4387,18,missed,2,2240,1477440000000.0,0,22.4,2.34,2747,3835,4.8,3,0,1,0
671,21600001,201565,1610612752,9,2016102505,4387,18,missed,2,1310,1477440000000.0,11,4.98,9.42,2747,3835,0.16,2,0,1,0
672,21600001,201565,1610612752,10,2016102505,4387,18,made,2,1060,1477440000000.0,1,1.46,2.4,2210,3523,2.26,2,1,1,2
673,21600001,201565,1610612752,11,2016102505,4387,18,missed,3,6370,1477440000000.0,11,17.33,9.95,201567,4391,4.06,2,0,1,0
674,21600001,201565,1610612752,12,2016102505,4387,18,missed,3,4740,1477440000000.0,11,5.93,9.56,201567,4391,1.35,2,0,1,0
675,21600001,201565,1610612752,13,2016102505,4387,18,missed,3,3150,1477440000000.0,5,10.51,4.68,202681,4840,2.94,2,0,1,0
